id,focus,signal,slack,drag,confidence,score,lane,kind,invariant
g001,view drift,43,52,36,53,135,watch,baseline,monotonic-signal
g002,state pressure,43,70,23,45,202,ship,edge,drag-penalty
g003,layout risk,47,11,18,67,129,watch,recovery,confidence-floor
g004,interaction cost,52,19,17,61,152,watch,negative,lane-boundary
g005,view drift,102,61,39,63,272,ship,baseline,monotonic-signal
g006,state pressure,87,14,9,68,243,ship,edge,drag-penalty
g007,layout risk,83,28,17,32,203,ship,recovery,confidence-floor
g008,interaction cost,84,73,43,105,290,ship,negative,lane-boundary
g009,view drift,44,28,37,103,136,watch,baseline,monotonic-signal
g010,state pressure,72,43,35,20,145,watch,edge,drag-penalty
g011,layout risk,45,53,15,26,177,ship,recovery,confidence-floor
g012,interaction cost,35,25,27,34,73,hold,negative,lane-boundary
g013,view drift,34,49,33,85,152,watch,baseline,monotonic-signal
g014,state pressure,37,63,39,29,112,hold,edge,drag-penalty
g015,layout risk,42,73,23,92,253,ship,recovery,confidence-floor
g016,interaction cost,92,45,16,85,311,ship,negative,lane-boundary
g017,view drift,32,69,14,86,246,ship,baseline,monotonic-signal
g018,state pressure,50,13,15,48,129,watch,edge,drag-penalty
g019,layout risk,62,58,17,76,265,ship,recovery,confidence-floor
g020,interaction cost,72,13,40,52,102,hold,negative,lane-boundary
g021,view drift,36,63,32,44,146,watch,baseline,monotonic-signal
g022,state pressure,66,55,30,66,218,ship,edge,drag-penalty
g023,layout risk,40,19,9,60,151,watch,recovery,confidence-floor
g024,interaction cost,75,73,21,62,295,ship,negative,lane-boundary
g025,view drift,96,9,8,67,253,ship,baseline,monotonic-signal
g026,state pressure,66,73,45,31,174,ship,edge,drag-penalty
g027,layout risk,54,73,44,104,226,ship,recovery,confidence-floor
g028,interaction cost,52,40,24,102,214,ship,negative,lane-boundary
g029,view drift,98,26,36,105,245,ship,baseline,monotonic-signal
g030,state pressure,81,57,44,25,169,watch,edge,drag-penalty
g031,layout risk,32,75,28,33,163,watch,recovery,confidence-floor
g032,interaction cost,84,16,22,84,218,ship,negative,lane-boundary
g033,view drift,84,24,20,28,184,ship,baseline,monotonic-signal
g034,state pressure,88,66,42,91,273,ship,edge,drag-penalty
g035,layout risk,93,19,12,84,272,ship,recovery,confidence-floor
g036,interaction cost,55,33,18,85,207,ship,negative,lane-boundary
g037,view drift,40,8,24,47,71,hold,baseline,monotonic-signal
